titulo,autor,genero,paginas,valoracion,complejidad
Don Segundo Sombra,Ricardo Güiraldes,Narrativa,352,4.6,3
Martín Fierro,José Hernández,Poesía épica,432,4.5,3
El túnel,Ernesto Sabato,Novela psicológica,288,4.5,5
Cien años de soledad,Gabriel García Márquez,Realismo mágico,432,4.7,4
Rayuela,Julio Cortázar,Literatura experimental,577,4.3,5
Fervor de Buenos Aires,Jorge Luis Borges,Poesía,120,4.4,2
Sobre héroes y tumbas,Ernesto Sabato,Novela,576,4.4,5
El Aleph,Jorge Luis Borges,Cuento,272,4.6,3
Las fuerzas extrañas,Leopoldo Lugones,Ficción científica,272,4.2,4
La casa de los espiritus,Isabel Allende,Realismo mágico,368,4.5,4
El coronel no tiene quien le escriba,Gabriel García Márquez,Novela corta,144,4.3,3
Pedro Páramo,Juan Rulfo,Realismo mágico,124,4.6,4
El amor en los tiempos del cólera,Gabriel García Márquez,Novela romántica,424,4.6,4
La tregua,Mario Benedetti,Novela,256,4.4,3
Los pasos perdidos,Alejo Carpentier,Realismo mágico,384,4.5,5
Los ríos profundos,José María Arguedas,Narrativa,256,4.5,4
Zama,Antonio Di Benedetto,Novela,192,4.4,4
Las intermitencias de la muerte,José Saramago,Ficción filosófica,224,4.4,4
Memorias de mis putas tristes,Gabriel García Márquez,Novela,112,4.3,3
El perfume,Patrick Süskind,Novela histórica,296,4.6,4
La sombra del viento,Carlos Ruiz Zafón,Misterio,576,4.7,4
La metamorfosis,Franz Kafka,Ficción,104,4.5,3
1984,George Orwell,Distopía,328,4.7,5
Crónica de una muerte anunciada,Gabriel García Márquez,Narrativa,144,4.5,3
Fahrenheit 451,Ray Bradbury,Distopía,194,4.6,4
Ensayo sobre la ceguera,José Saramago,Ficción filosófica,352,4.5,4
La colmena,Camilo José Cela,Narrativa,304,4.3,4
El viejo y el mar,Ernest Hemingway,Novela,128,4.4,3
Madame Bovary,Gustave Flaubert,Novela,328,4.4,4
Ana Karenina,León Tolstói,Novela,864,4.6,5
La guerra y la paz,León Tolstói,Novela histórica,1440,4.7,5
Los miserables,Victor Hugo,Novela histórica,1232,4.8,5
Matar a un ruiseñor,Harper Lee,Narrativa,336,4.7,4
Orgullo y prejuicio,Jane Austen,Novela romántica,416,4.6,4
El gran Gatsby,F. Scott Fitzgerald,Narrativa,180,4.4,3
Drácula,Bram Stoker,Terror,488,4.5,4
Frankenstein,Mary Shelley,Terror,280,4.6,3
El extranjero,Albert Camus,Novela filosófica,136,4.5,4
La náusea,Jean-Paul Sartre,Ficción filosófica,320,4.4,5
El camino de los reyes,Brandon Sanderson,Fantasía épica,1007,4.8,5
Palabras radiantes,Brandon Sanderson,Fantasía épica,1087,4.9,5
El héroe de las eras,Brandon Sanderson,Fantasía,572,4.7,4
El imperio final,Brandon Sanderson,Fantasía,672,4.8,4
Juramentada,Brandon Sanderson,Fantasía épica,1248,4.9,5
El aliento de los dioses,Brandon Sanderson,Fantasía,592,4.7,4
El Ritmo de la Guerra,Brandon Sanderson,Fantasía épica,1232,4.8,5
El alma del emperador,Brandon Sanderson,Fantasía,176,4.6,3
El líder que no tenía cargo,Robin Sharma,Autoayuda,224,4.5,3
Los secretos de la mente millonaria,T. Harv Eker,Autoayuda,176,4.6,3
Cómo ganar amigos e influir sobre las personas,Dale Carnegie,Autoayuda,320,4.7,3
Los 7 hábitos de la gente altamente efectiva,Stephen Covey,Autoayuda,432,4.7,4
Piense y hágase rico,Napoleon Hill,Autoayuda,320,4.6,3
Hábitos atómicos,James Clear,Autoayuda,320,4.8,3
El poder del ahora,Eckhart Tolle,Autoayuda,256,4.7,4
Tus zonas erróneas,Wayne Dyer,Autoayuda,304,4.6,3
La magia del orden,Marie Kondo,Autoayuda,224,4.4,2
El monje que vendió su Ferrari,Robin Sharma,Autoayuda,224,4.6,3
Despierta tu héroe interior,Víctor Hugo Manzanilla,Autoayuda,224,4.5,3
Vivir con abundancia,Louise Hay,Autoayuda,224,4.4,2
Dune,Frank Herbert,Ciencia ficción,688,4.8,5
Fundación,Isaac Asimov,Ciencia ficción,255,4.6,4
Neuromante,William Gibson,Cyberpunk,271,4.4,5
Snow Crash,Neal Stephenson,Cyberpunk,480,4.3,5
La carretera,Cormac McCarthy,Distopía,241,4.3,4
Un mundo feliz,Aldous Huxley,Distopía,311,4.5,4
El hombre en el castillo,Philip K. Dick,Historia alternativa,274,4.2,4
El nombre de la rosa,Umberto Eco,Misterio histórico,512,4.4,5
La trilogía de Nueva York,Paul Auster,Misterio,386,4.2,4
La verdad sobre el caso Harry Quebert,Joël Dicker,Thriller,672,4.5,4
Mujercitas,Louisa May Alcott,Clásico,544,4.5,3
La insoportable levedad del ser,Milan Kundera,Novela filosófica,312,4.4,4
El diario de Ana Frank,Ana Frank,Biografía,352,4.8,3
Steve Jobs,Walter Isaacson,Biografía,656,4.7,4
El hombre que amaba a los perros,Leonardo Padura,Ficción histórica,600,4.7,5
Los detectives salvajes,Roberto Bolaño,Ficción,672,4.5,5
